SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
71.461,0.00032939,64,38.705,447980000.0,103.29,25.913,408430000.0,79.654,88.889
71.565,0.00032112,64,38.705,641160000.0,55.34,25.913,453000000.0,51.185,66.667
72.952,0.00032112,64,38.705,775210000.0,9.1732,25.913,763980000.0,11.588,11.111
72.866,0.00032112,64,38.705,791380000.0,19.873,25.913,1035500000.0,26.594,22.222
73.557,0.00032112,64,38.705,791380000.0,88.543,25.913,1035500000.0,112.26,100.0
72.294,0.00032112,64,36.26,832610.0,0.0,33.414,968270.0,0.0,0.0
73.14,0.00032112,64,36.26,832610.0,19.873,33.414,968270.0,26.594,22.222
72.488,0.00032112,64,36.26,832610.0,55.34,33.414,968270.0,51.185,66.667
73.993,0.00041458,64,36.26,1624000.0,0.0,33.414,1456600.0,0.0,0.0
72.966,0.00041458,64,36.26,1624000.0,48.447,33.414,1456600.0,68.127,55.556
75.173,0.00041458,64,36.26,1624000.0,88.543,33.414,1456600.0,112.26,100.0
74.2,0.00041458,64,36.26,3779100.0,25.057,33.414,3579300.0,40.953,33.333
73.89,0.00041458,64,36.26,3779100.0,48.447,33.414,3579300.0,68.127,55.556
74.525,0.00041458,64,36.26,3779100.0,55.34,33.414,3579300.0,51.185,66.667
73.089,0.0006332,64,36.26,3285100.0,48.447,33.414,4552600.0,68.127,55.556
73.352,0.0006332,64,36.26,3285100.0,55.34,33.414,4552600.0,51.185,66.667
72.735,0.0006332,64,36.26,3285100.0,90.067,33.414,4552600.0,94.457,77.778
73.48,0.0006332,64,36.26,6555700.0,0.0,33.414,4879300.0,0.0,0.0
73.072,0.0006332,64,36.26,6555700.0,55.34,33.414,4879300.0,51.185,66.667
73.779,0.0006332,64,36.26,6078100.0,55.34,33.414,6267200.0,51.185,66.667
73.764,0.0006332,64,36.26,6078100.0,103.29,33.414,6267200.0,79.654,88.889
74.367,0.0006332,64,36.26,7553200.0,0.0,33.414,8363300.0,0.0,0.0
73.988,0.0006332,64,36.26,7553200.0,55.34,33.414,8363300.0,51.185,66.667
73.195,0.00085641,64,36.26,14271000.0,103.29,33.414,13222000.0,79.654,88.889
74.213,0.00085641,64,36.26,18298000.0,0.0,33.414,16624000.0,0.0,0.0
73.731,0.00085641,64,36.26,18298000.0,48.447,33.414,16624000.0,68.127,55.556
74.405,0.00085641,64,36.26,18298000.0,103.29,33.414,16624000.0,79.654,88.889
73.279,0.00085641,64,36.26,29188000.0,0.0,33.414,35323000.0,0.0,0.0
73.13,0.00085641,64,36.26,29188000.0,48.447,33.414,35323000.0,68.127,55.556
74.651,0.0010942,64,36.26,44246000.0,55.34,33.414,55520000.0,51.185,66.667
72.031,0.0010942,64,36.26,74892000.0,9.1732,33.414,74736000.0,11.588,11.111
73.378,0.0010942,64,36.26,74892000.0,90.067,33.414,74736000.0,94.457,77.778
73.63,0.0010942,64,36.26,124430000.0,19.873,33.414,83815000.0,26.594,22.222
75.939,0.0010942,64,36.26,124430000.0,43.296,33.414,83815000.0,35.497,44.444
74.059,0.0010942,64,36.26,124430000.0,90.067,33.414,83815000.0,94.457,77.778
74.335,0.0015392,64,36.26,133630000.0,43.296,33.414,187490000.0,35.497,44.444
74.224,0.0015392,64,36.26,133630000.0,55.34,33.414,187490000.0,51.185,66.667
73.469,0.0015392,64,36.26,218490000.0,43.296,33.414,196090000.0,35.497,44.444
74.982,0.0015392,64,36.26,218490000.0,90.067,33.414,196090000.0,94.457,77.778
73.661,0.0015392,64,36.26,326870000.0,0.0,33.414,306330000.0,0.0,0.0
74.803,0.0015392,64,36.26,326870000.0,90.067,33.414,306330000.0,94.457,77.778
71.768,0.0018269,64,36.26,447980000.0,25.057,33.414,408430000.0,40.953,33.333
72.474,0.0018269,64,36.26,641160000.0,88.543,33.414,453000000.0,112.26,100.0
73.693,0.0018269,64,36.26,775210000.0,103.29,33.414,763980000.0,79.654,88.889
74.084,0.0018269,64,36.26,791380000.0,0.0,33.414,1035500000.0,0.0,0.0
70.346,0.00014963,64,53.232,18298000.0,55.34,44.976,16624000.0,51.185,66.667
70.582,0.00014963,64,53.232,28765000.0,103.29,44.976,23553000.0,79.654,88.889
70.63,0.00014963,64,53.232,46101000.0,9.1732,44.976,38063000.0,11.588,11.111
70.569,0.00020824,64,53.232,74892000.0,9.1732,44.976,74736000.0,11.588,11.111
71.488,0.00020824,64,53.232,74892000.0,19.873,44.976,74736000.0,26.594,22.222
70.425,0.00020824,64,53.232,74892000.0,43.296,44.976,74736000.0,35.497,44.444
70.548,0.00020824,64,53.232,74892000.0,103.29,44.976,74736000.0,79.654,88.889
70.284,0.00020824,64,53.232,124430000.0,0.0,44.976,83815000.0,0.0,0.0
70.455,0.00020824,64,53.232,124430000.0,43.296,44.976,83815000.0,35.497,44.444
70.556,0.00020824,64,53.232,124430000.0,48.447,44.976,83815000.0,68.127,55.556
70.964,0.00020824,64,53.232,124430000.0,90.067,44.976,83815000.0,94.457,77.778
71.115,0.00020824,64,53.232,166540000.0,0.0,44.976,162840000.0,0.0,0.0
71.327,0.00020824,64,53.232,166540000.0,9.1732,44.976,162840000.0,11.588,11.111
71.608,0.00020824,64,53.232,166540000.0,19.873,44.976,162840000.0,26.594,22.222
